name,distributed
traefik-v2-file-provider.json,
traefik-v2.json,
travis.json,
ts-force-config.json,
tsconfig.json,
tsdrc.json,
tsd.json,
tslint.json,
tsoa.json,TRUE
typewiz.json,
typingsrc.json,
typings.json,
ui5-manifest.json,
up.json,
vega-lite.json,
vega.json,
vim-addon-info.json,
vs-2017.3.host.json,
vs-nesting.json,
vsconfig.json,
vsext.json,
vsix-manifestinjection.json,
vsix-publish.json,
vsls.json,
vss-extension.json,
web-manifest-app-info.json,TRUE
web-manifest-combined.json,TRUE
web-manifest.json,
web-types.json,
webextension.json,
webjob-publish-settings.json,
webjobs-list.json,
winget-pkgs-installer-1.0.0.json,
winget-pkgs-locale-1.0.0.json,
winget-pkgs-singleton-0.1.json,
winget-pkgs-singleton-1.0.0.json,
workflows.json,
xs-app.json,
xunit.runner.schema.json,
